info: cargo-llvm-cov currently setting cfg(coverage); you can opt-out it by passing --no-cfg-coverage
   Compiling auto-rust v0.2.0 (C:\My Script\auto-rust)
    Finished `test` profile [unoptimized] target(s) in 53.85s
     Running unittests src\lib.rs (target\llvm-cov-target\debug\deps\auto-b54427a9c358f6d5.exe)
test task::twitterreply::tests::preview_text_is_char_safe ... ok
test task::twitterreply::tests::sanitize_reply_truncates_by_chars ... ok
test task::twitterretweet::tests::extract_url_from_payload_url ... ok
test task::twitterreply::tests::task_duration_stays_within_bounds ... ok
test task::twitterretweet::tests::extract_url_from_payload_value ... ok
test task::twitterretweet::tests::extract_url_missing ... ok
test task::twitterretweet::tests::task_duration_stays_within_bounds ... ok
test task::twittertest::tests::extract_tests_custom ... ok
test task::twittertest::tests::extract_tests_default ... ok
test task::twittertest::tests::extract_url_from_payload_url ... ok
test task::twittertest::tests::task_duration_stays_within_bounds ... ok
test task::validation::tests::test_circular_reference_self_call ... ok
test task::validation::tests::test_count_actions ... ok
test task::validation::tests::test_custom_nesting_limit ... ok
test task::validation::tests::test_deep_nesting_limit ... ok
test task::validation::tests::test_extract_variables ... ok
test task::validation::tests::test_multiple_call_actions_tracked ... ok
test task::validation::tests::test_no_false_circular_positive ... ok
test task::validation::tests::test_validate_call_unknown_task ... ok
test task::validation::tests::test_validate_empty_actions ... ok
test task::validation::tests::test_validate_empty_selector ... ok
test task::validation::tests::test_validate_empty_task_name ... ok
test task::validation::tests::test_validate_foreach_invalid_range ... ok
test task::validation::tests::test_validate_if_empty_then ... ok
test task::validation::tests::test_validate_loop_without_count_or_condition ... ok
test task::validation::tests::test_validate_retry_zero_attempts ... ok
test task::validation::tests::test_validate_task_name_with_spaces ... ok
test task::validation::tests::test_validate_unbalanced_selector ... ok
test task::validation::tests::test_validate_valid_task ... ok
test task::validation::tests::test_validate_zero_wait_duration ... ok
test task::validation::unit_tests::issue_clone ... ok
test task::validation::unit_tests::issue_debug ... ok
test task::validation::unit_tests::issue_debug_not_empty ... ok
test task::validation::unit_tests::issue_eq_self ... ok
test task::validation::unit_tests::issue_error_message ... ok
test task::validation::unit_tests::issue_error_vs_warning_ne ... ok
test task::validation::unit_tests::issue_message_empty ... ok
test task::validation::unit_tests::issue_message_long ... ok
test task::validation::unit_tests::issue_message_unicode ... ok
test task::validation::unit_tests::issue_partial_eq_diff_msg ... ok
test task::validation::unit_tests::issue_partial_eq_error ... ok
test task::validation::unit_tests::issue_partial_eq_warning ... ok
test task::validation::unit_tests::issue_warning_eq ... ok
test task::validation::unit_tests::issue_warning_message ... ok
test task::validation::unit_tests::report_action_and_error_mix ... ok
test task::validation::unit_tests::report_action_count_default ... ok
test task::validation::unit_tests::report_action_increment ... ok
test task::validation::unit_tests::report_add_error ... ok
test task::validation::unit_tests::report_add_warning ... ok
test task::validation::unit_tests::report_clone ... ok
test task::validation::unit_tests::report_clone_independent ... ok
test task::validation::unit_tests::report_debug ... ok
test task::validation::unit_tests::report_debug_contains_name ... ok
test task::validation::unit_tests::report_debug_not_empty ... ok
test task::validation::unit_tests::report_default_action_zero ... ok
test task::validation::unit_tests::report_empty_issues_vec ... ok
test task::validation::unit_tests::report_eq_name_only ... ok
test task::validation::unit_tests::report_error_count_zero ... ok
test task::validation::unit_tests::report_error_twice ... ok
test task::validation::unit_tests::report_has_errors_false_initial ... ok
test task::validation::unit_tests::report_has_errors_true ... ok
test task::validation::unit_tests::report_has_no_warnings_initial ... ok
test task::validation::unit_tests::report_insert_task_call ... ok
test task::validation::unit_tests::report_insert_variable ... ok
test task::validation::unit_tests::report_is_valid_after_only_warnings ... ok
test task::validation::unit_tests::report_issues_iter_errors ... ok
test task::validation::unit_tests::report_issues_len_after_add ... ok
test task::validation::unit_tests::report_issues_push_direct ... ok
test task::validation::unit_tests::report_issues_retain_errors ... ok
test task::validation::unit_tests::report_large_error_count ... ok
test task::validation::unit_tests::report_large_warning_count ... ok
test task::validation::unit_tests::report_mixed_counts ... ok
test task::validation::unit_tests::report_multiple_errors_summary ... ok
test task::validation::unit_tests::report_multiple_warnings ... ok
test task::validation::unit_tests::report_name_change ... ok
test task::validation::unit_tests::report_name_preserved ... ok
test task::validation::unit_tests::report_new_empty ... ok
test task::validation::unit_tests::report_new_with_special_chars ... ok
test task::validation::unit_tests::report_one_action_summary ... ok
test task::validation::unit_tests::report_set_action_count_direct ... ok
test task::validation::unit_tests::report_summary_contains_task_name ... ok
test task::validation::unit_tests::report_summary_errors ... ok
test task::validation::unit_tests::report_summary_format_check ... ok
test task::validation::unit_tests::report_summary_mixed ... ok
test task::validation::unit_tests::report_summary_no_warnings_errors ... ok
test task::validation::unit_tests::report_summary_valid ... ok
test task::validation::unit_tests::report_summary_warnings ... ok
test task::validation::unit_tests::report_tasks_called_empty ... ok
test task::validation::unit_tests::report_tasks_clear ... ok
test task::validation::unit_tests::report_tasks_contains_after_insert ... ok
test task::validation::unit_tests::report_tasks_len ... ok
test task::validation::unit_tests::report_variables_clear ... ok
test task::validation::unit_tests::report_variables_contains ... ok
test task::validation::unit_tests::report_variables_empty ... ok
test task::validation::unit_tests::report_variables_insert_many ... ok
test task::validation::unit_tests::report_variables_len ... ok
test task::validation::unit_tests::report_warning_count_zero ... ok
test task::validation::unit_tests::report_warning_twice ... ok
test task::validation::unit_tests::report_zero_actions_summary ... ok
test task::watcher::tests::test_file_event_variants ... ok
test task::watcher::tests::test_handle_notify_event_ignores_non_task_files ... ok
test task::watcher::tests::test_handle_notify_event_maps_create_modify_remove ... ok
test task::watcher::tests::test_task_registry_insert ... ok
test task::watcher::tests::test_stop_is_safe_with_and_without_active_handle ... ok
test task::watcher::tests::test_task_registry_remove ... ok
test task::watcher::tests::test_task_registry_remove_unknown ... ok
test tests::blockmedia_policy_tests::blockmedia_policy::forbid_blockmedia_usage_outside_cookiebot_task ... ok
test task::watcher::tests::test_reload_task_fails_for_missing_file ... ok
test tests::config_tests::test_validate_config_invalid_concurrency ... ok
test tests::click_policy_tests::click_policy::prefer_selector_clicks_in_task_code ... ok
test tests::config_tests::test_validate_config_valid ... ok
test tests::metrics_tests::test_metrics_collector_new ... ok
test tests::metrics_tests::test_metrics_success_rate ... ok
test tests::page_manager_policy_tests::tests::page_manager_is_not_reexported_from_public_surface ... ok
test tests::result_tests::tests::test_task_error_kind_classify ... ok
test tests::result_tests::tests::test_task_result_deserializes_without_metadata ... ok
test tests::result_tests::tests::test_task_result_metadata_round_trip ... ok
test task::watcher::tests::test_reload_task_succeeds_for_valid_task ... ok
test tests::result_tests::tests::test_task_result_success ... ok
test tests::result_tests::tests::test_task_result_with_retry ... ok
test tests::twitter_helpers::tests::tdd_green_assert_all_actions_allowed_works_on_fresh_counters ... ok
test tests::task_registry_policy_tests::tests::canonical_task_registry_includes_twitterreply_and_demoqa ... ok
test tests::twitter_helpers::tests::tdd_green_assert_all_actions_blocked_works_on_full_counters ... ok
test tests::twitter_helpers::tests::tdd_green_build_positive_tweet_contains_positive_language ... ok
test tests::twitter_helpers::tests::tdd_green_test_counters_with_actions_works ... ok
test tests::page_manager_policy_tests::tests::page_manager_is_not_used_outside_its_own_file ... ok
test tests::twitter_helpers::tests::tdd_green_test_persona_weights_have_defaults ... ok
test tests::twitter_helpers::tests::tdd_green_test_session_state_creation ... ok
test tests::twitter_helpers::tests::tdd_green_test_tweet_with_replies_includes_replies ... ok
test tests::twitter_helpers::tests::tdd_red_build_tweet_creates_valid_tweet ... ok
test tracing::tests::test_endpoint_parameter ... ok
test tracing::tests::test_endpoint_with_https ... ok
test tracing::tests::test_env_filter_invalid_directive ... ok
test tracing::tests::test_env_filter_directives ... ok
test tracing::tests::test_init_console_tracing ... ok
test tracing::tests::test_init_tracing_signature ... ok
test tracing::tests::test_init_console_tracing_signature ... ok
test tracing::tests::test_resource_key_value_pairs ... ok
test tracing::tests::test_runtime_tokio_constant ... ok
test tracing::tests::test_service_name_parameter ... ok
test tracing::tests::test_service_name_with_special_chars ... ok
test tracing::tests::test_shutdown_tracing ... ok
test tracing::tests::test_shutdown_tracing_idempotent ... ok
test tracing::tests::test_shutdown_tracing_signature ... ok
test utils::blockmedia::tests::test_blocked_patterns_all_strings ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_audio_extensions ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_avi ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_bmp ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_data_image ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_flv ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_ico ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_image_extensions ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_mov ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_mpd ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_opus ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_svg ... ok
test utils::blockmedia::tests::test_blocked_patterns_contains_video_extensions ... ok
test utils::blockmedia::tests::test_blocked_patterns_count ... ok
test utils::blockmedia::tests::test_blocked_patterns_exact_count ... ok
test utils::blockmedia::tests::test_blocked_patterns_no_empty_strings ... ok
test utils::blockmedia::tests::test_blocked_patterns_not_empty ... ok
test utils::blockmedia::tests::test_blocked_patterns_pattern_format ... ok
test task::watcher::tests::test_reload_task_fails_for_invalid_file ... ok
test utils::blockmedia::tests::test_blocked_patterns_unique ... ok
test utils::blockmedia::tests::test_blocked_patterns_wildcard_variants ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_block_extensions ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_blocked_message ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_console_log ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_endswith ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_fetch_override ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_method_param ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_noop_for_blocked ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_origws ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_pathname ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_protocols_param ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_send_override ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_should_block ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_some ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_tolowercase ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_try_catch ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_type_error ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_url_parsing ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_websocket_override ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_contains_xhr_override ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_is_wrapped_in_iife ... ok
test utils::blockmedia::tests::test_cookiebot_block_js_not_empty ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_background_image ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_data_check ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_foreach ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_key_operations ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_pause ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_picture_element ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_play_override ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_source_element ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_srcobject ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_srcset ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_contains_style_attribute ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_is_wrapped_in_iife ... ok
test utils::blockmedia::tests::test_dom_cleanup_js_not_empty ... ok
test utils::clipboard::tests::test_clear_clipboard ... ok
test utils::clipboard::tests::test_clear_session_clipboard ... ok
test utils::clipboard::tests::test_clipboard_state_clear ... ok
test utils::clipboard::tests::test_clipboard_state_clone ... ok
test utils::clipboard::tests::test_clipboard_state_creation ... ok
test utils::clipboard::tests::test_clipboard_state_empty_string ... ok
test utils::clipboard::tests::test_clipboard_state_long_text ... ok
test utils::clipboard::tests::test_clipboard_state_multiple_sessions ... ok
test utils::clipboard::tests::test_clipboard_state_overwrite ... ok
test utils::clipboard::tests::test_clipboard_state_set_get ... ok
test utils::clipboard::tests::test_clipboard_state_special_chars ... ok
test utils::clipboard::tests::test_clipboard_state_unicode ... ok
test utils::clipboard::tests::test_get_clipboard_empty ... ok
test utils::clipboard::tests::test_get_session_clipboard_empty ... ok
test utils::clipboard::tests::test_set_clipboard ... ok
test utils::clipboard::tests::test_set_session_clipboard ... ok
test utils::geometry::test_approx_eq_asymmetric_difference ... ok
test utils::geometry::test_approx_eq_both_nan ... ok
test utils::geometry::test_approx_eq_reflexive ... ok
test utils::geometry::test_approx_eq_symmetric ... ok
test utils::geometry::test_approx_eq_threshold_exactly_equal_to_difference ... ok
test utils::geometry::test_approx_eq_very_large_difference ... ok
test utils::geometry::test_approx_eq_with_nan ... ok
test utils::geometry::test_bounding_box_copy_semantics ... ok
test utils::geometry::test_bounding_box_default_values_not_implemented ... ok
test utils::geometry::test_bounding_box_floating_point_precision ... ok
test utils::geometry::test_bounding_box_infinity ... ok
test utils::geometry::test_bounding_box_max_f64_values ... ok
test utils::geometry::test_bounding_box_min_f64_values ... ok
test utils::geometry::test_bounding_box_nan ... ok
test utils::geometry::test_bounding_box_partial_mutability ... ok
test utils::geometry::test_bounding_box_struct_fields_public ... ok
test utils::geometry::test_bounding_box_very_small_values ... ok
test utils::geometry::tests::test_approx_eq_both_differences_at_threshold ... ok
test utils::geometry::tests::test_approx_eq_both_differences_exceed_threshold ... ok
test utils::geometry::tests::test_approx_eq_exceeds_threshold ... ok
test utils::geometry::tests::test_approx_eq_fractional_values ... ok
test utils::geometry::tests::test_approx_eq_identical ... ok
test utils::geometry::tests::test_approx_eq_large_threshold ... ok
test utils::geometry::tests::test_approx_eq_negative_coordinates ... ok
test utils::geometry::tests::test_approx_eq_very_small_threshold ... ok
test utils::geometry::tests::test_approx_eq_width_height_ignored ... ok
test utils::geometry::tests::test_approx_eq_with_negative_threshold ... ok
test utils::geometry::tests::test_approx_eq_within_threshold ... ok
test utils::geometry::tests::test_approx_eq_x_difference_only ... ok
test utils::geometry::tests::test_approx_eq_y_difference_only ... ok
test utils::geometry::tests::test_approx_eq_zero_threshold ... ok
test utils::geometry::tests::test_bounding_box_clone ... ok
test utils::geometry::tests::test_bounding_box_copy ... ok
test utils::geometry::tests::test_bounding_box_creation ... ok
test utils::geometry::tests::test_bounding_box_debug ... ok
test utils::geometry::tests::test_bounding_box_large_values ... ok
test utils::geometry::tests::test_bounding_box_negative_dimensions ... ok
test utils::geometry::tests::test_bounding_box_partial_equality ... ok
test utils::geometry::tests::test_bounding_box_zero_dimensions ... ok
test utils::keyboard::tests::test_get_similar_char_all_mapped ... ok
test utils::keyboard::tests::test_get_similar_char_bottom_row ... ok
test utils::keyboard::tests::test_get_similar_char_case_preservation ... ok
test utils::keyboard::tests::test_get_similar_char_empty ... ok
test utils::keyboard::tests::test_get_similar_char_home ... ok
test utils::keyboard::tests::test_get_similar_char_i ... ok
test utils::keyboard::tests::test_get_similar_char_middle ... ok
test utils::keyboard::tests::test_get_similar_char_no_match ... ok
test utils::keyboard::tests::test_get_similar_char_numbers ... ok
test task::dsl::parser::tests::proptests::test_foreach_collection_yaml_round_trip ... ok
test utils::keyboard::tests::test_get_similar_char_punctuation ... ok
test utils::keyboard::tests::test_get_similar_char_row ... ok
test utils::keyboard::tests::test_get_similar_char_unicode ... ok
test utils::keyboard::tests::test_get_similar_char_special_chars ... ok
test utils::keyboard::tests::test_is_modifier ... ok
test utils::keyboard::tests::test_is_modifier_all_standard ... ok
test utils::keyboard::tests::test_is_modifier_case_sensitive ... ok
test utils::keyboard::tests::test_is_modifier_function_keys ... ok
test utils::keyboard::tests::test_is_modifier_navigation_keys ... ok
test utils::keyboard::tests::test_normalize_modifier_alt ... ok
test utils::keyboard::tests::test_normalize_modifier_case_insensitive ... ok
test utils::keyboard::tests::test_normalize_modifier_ctrl ... ok
test utils::keyboard::tests::test_normalize_modifier_meta ... ok
test utils::keyboard::tests::test_normalize_modifier_mixed_case ... ok
test utils::keyboard::tests::test_normalize_modifier_shift ... ok
test utils::keyboard::tests::test_normalize_modifier_unknown ... ok
test utils::keyboard::tests::test_normalize_modifier_variations ... ok
test utils::keyboard::tests::test_normalize_modifier_windows_variants ... ok
test utils::keyboard::tests::test_press_options_clone ... ok
test utils::keyboard::tests::test_press_options_custom ... ok
test utils::keyboard::tests::test_press_options_debug ... ok
test utils::keyboard::tests::test_press_options_defaults ... ok
test utils::keyboard::tests::test_press_options_delay_variations ... ok
test utils::keyboard::tests::test_press_options_high_repeat ... ok
test utils::keyboard::tests::test_press_options_multiple_modifiers ... ok
test utils::keyboard::tests::test_press_options_no_modifiers ... ok
test utils::keyboard::tests::test_press_options_repeat_zero ... ok
test utils::math::tests::test_gaussian_bounds_swapped ... ok
test utils::math::tests::test_gaussian_bounds ... ok
test utils::math::tests::test_gaussian_bounds_at_extremes ... ok
test utils::math::tests::test_gaussian_clamping ... ok
test utils::math::tests::test_gaussian_consistency_with_fixed_rng ... ok
test utils::math::tests::test_gaussian_degenerate_bounds ... ok
test utils::math::tests::test_gaussian_equal_bounds ... ok
test utils::math::tests::test_gaussian_extreme_mean ... ok
test utils::math::tests::test_gaussian_extreme_std_dev ... ok
test utils::math::tests::test_gaussian_infinity_bounds ... ok
test utils::math::tests::test_gaussian_infinity_mean ... ok
test utils::math::tests::test_gaussian_infinity_std_dev ... ok
test utils::math::tests::test_gaussian_large_std_dev ... ok
test utils::math::tests::test_gaussian_mean_at_max_bound ... ok
test utils::math::tests::test_gaussian_mean_at_min_bound ... ok
test utils::math::tests::test_gaussian_mean_clamp_to_max ... ok
test utils::math::tests::test_gaussian_mean_clamp_to_min ... ok
test utils::math::tests::test_gaussian_mean_near_bound ... ok
test utils::math::tests::test_gaussian_nan_mean ... ok
test utils::math::tests::test_gaussian_mean ... ok
test utils::math::tests::test_gaussian_nan_std_dev ... ok
test utils::math::tests::test_gaussian_negative_bounds ... ok
test utils::math::tests::test_gaussian_negative_std_dev ... ok
test utils::math::tests::test_gaussian_mean_outside_bounds ... ok
test utils::math::tests::test_gaussian_rejection_sampling_terminates ... ok
test utils::math::tests::test_gaussian_small_std_dev ... ok
test utils::math::tests::test_gaussian_tight_bounds ... ok
test utils::math::tests::test_gaussian_negative_mean_positive_bounds ... ok
test utils::math::tests::test_gaussian_very_small_std_dev ... ok
test utils::math::tests::test_gaussian_positive_mean_negative_bounds ... ok
test utils::math::tests::test_gaussian_zero_mean ... ok
test utils::math::tests::test_gaussian_zero_std_dev ... ok
test utils::math::tests::test_random_in_range ... ok
test utils::math::tests::test_random_in_range_large_values ... ok
test utils::math::tests::test_random_in_range_distribution ... ok
test utils::math::tests::test_random_in_range_max_u64 ... ok
test utils::math::tests::test_random_in_range_same_value ... ok
test utils::math::tests::test_gaussian_very_tight_bounds ... ok
test utils::math::tests::test_random_in_range_sequence ... ok
test utils::math::tests::test_random_in_range_single_value ... ok
test utils::mouse::native::tests::test_browser_content_origin_uses_platform_specific_chrome_offsets ... ok
test utils::math::tests::test_random_in_range_zero ... ok
test utils::mouse::native::tests::test_browser_scale_clamps_to_expected_bounds ... ok
test utils::mouse::native::tests::test_cache_and_forced_calibration_and_trace_hooks ... ok
test utils::mouse::native::tests::test_native_click_calibration_from_metrics_and_screen_point_projection ... ok
test utils::mouse::native::tests::test_native_click_fingerprint_rounding_and_mode ... ok
test utils::mouse::native::tests::test_solve_calibration_from_probe_samples_success_and_failure ... ok
test utils::mouse::native::tests::test_validate_native_calibration_bounds ... ok
test utils::mouse::tests::test_arc_curve_generation ... ok
test utils::mouse::tests::test_bezier_point_exact ... ok
test utils::mouse::tests::test_browser_content_origin_uses_window_chrome_offsets ... ok
test utils::mouse::tests::test_bezier_curve_generation ... ok
test utils::mouse::tests::test_choose_click_point_stays_within_bbox ... ok
test utils::mouse::tests::test_click_outcome_summary_failed ... ok
test utils::mouse::tests::test_click_outcome_summary_success ... ok
test utils::mouse::tests::test_click_status_variants ... ok
test utils::mouse::tests::test_cursor_movement_config_defaults ... ok
test utils::mouse::tests::test_cursor_movement_config_with_path_style ... ok
test utils::mouse::tests::test_cursor_movement_config_with_precision ... ok
test utils::mouse::tests::test_cursor_movement_config_with_speed ... ok
test utils::mouse::tests::test_fitts_law_optimal_size ... ok
test utils::mouse::tests::test_fitts_law_zero_time ... ok
test utils::mouse::tests::test_hover_outcome_summary_failed ... ok
test utils::mouse::tests::test_hover_outcome_summary_success ... ok
test utils::mouse::tests::test_hover_status_variants ... ok
test utils::mouse::tests::test_is_overlay_enabled_default ... ok
test utils::mouse::tests::test_jittered_delay_stays_within_bounds ... ok
test utils::mouse::tests::test_jittered_delay_zero_variance ... ok
test utils::mouse::tests::test_jittered_delay_zero_base ... ok
test utils::mouse::tests::test_mouse_button_as_button_index ... ok
test utils::mouse::tests::test_muscle_path_generation ... ok
test utils::mouse::tests::test_native_click_candidate_points_prefer_center ... ok
test utils::mouse::tests::test_native_click_fingerprint_ignores_viewport_offsets ... ok
test utils::mouse::tests::test_native_click_mac_origin_uses_screen_left ... ok
test utils::mouse::tests::test_native_click_candidate_points_stay_within_bbox ... ok
test utils::mouse::tests::test_native_click_fingerprint_changes_with_zoom ... ok
test utils::mouse::tests::test_native_cursor_outcome_summary ... ok
test utils::mouse::tests::test_overshoot_curve_generation ... ok
test utils::mouse::tests::test_path_style_variants ... ok
test utils::mouse::tests::test_point_new ... ok
test utils::math::tests::test_gaussian_large_sample_mean ... ok
test utils::mouse::tests::test_precision_variants ... ok
test utils::mouse::tests::test_screen_point_from_calibration_uses_live_viewport_offset ... ok
test utils::mouse::tests::test_screen_point_from_metrics_applies_scale ... ok
test utils::mouse::tests::test_set_overlay_enabled ... ok
test utils::mouse::tests::test_speed_config_fast ... ok
test utils::mouse::tests::test_speed_config_slow ... ok
test utils::mouse::tests::test_speed_variants ... ok
test utils::mouse::tests::test_stopped_curve_generation ... ok
test utils::mouse::tests::test_zigzag_curve_generation ... ok
test utils::mouse::trajectory::tests::test_arc_curve_has_curvature ... ok
test utils::mouse::trajectory::tests::test_arc_curve_midpoint_deviation ... ok
test utils::mouse::trajectory::tests::test_arc_curve_start_end_points ... ok
test utils::mouse::trajectory::tests::test_bezier_curve_identical_points ... ok
test utils::mouse::trajectory::tests::test_bezier_curve_start_end_points ... ok
test utils::mouse::trajectory::tests::test_bezier_curve_step_count ... ok
test utils::mouse::trajectory::tests::test_bezier_curve_with_zero_spread ... ok
test utils::math::tests::test_gaussian_standard_deviation ... ok
test utils::mouse::trajectory::tests::test_bezier_point_at_end ... ok
test utils::mouse::trajectory::tests::test_bezier_point_at_midpoint ... ok
test utils::mouse::trajectory::tests::test_bezier_point_at_start ... ok
test utils::mouse::trajectory::tests::test_muscle_path_converges_to_end ... ok
test utils::mouse::trajectory::tests::test_muscle_path_has_jitter ... ok
test utils::mouse::trajectory::tests::test_muscle_path_has_progression ... ok
test utils::mouse::trajectory::tests::test_muscle_path_respects_max_steps ... ok
test utils::mouse::trajectory::tests::test_muscle_path_short_distance_terminates ... ok
test utils::mouse::trajectory::tests::test_overshoot_curve_both_directions ... ok
test utils::mouse::trajectory::tests::test_overshoot_curve_overshoot_scale ... ok
test utils::mouse::trajectory::tests::test_overshoot_curve_structure ... ok
test utils::mouse::trajectory::tests::test_point_clone_and_copy ... ok
test utils::mouse::trajectory::tests::test_point_new ... ok
test utils::mouse::trajectory::tests::test_stopped_curve_equal_spacing ... ok
test utils::mouse::trajectory::tests::test_stopped_curve_structure ... ok
test utils::mouse::trajectory::tests::test_zigzag_curve_alternating_pattern ... ok
test utils::mouse::trajectory::tests::test_zigzag_curve_has_perpendicular_deviation ... ok
test utils::mouse::trajectory::tests::test_zigzag_curve_structure ... ok
test utils::mouse::types::tests::test_click_outcome_copy ... ok
test utils::mouse::types::tests::test_click_outcome_summary_failed ... ok
test utils::mouse::types::tests::test_click_outcome_summary_success ... ok
test utils::mouse::types::tests::test_click_status_partial_eq ... ok
test utils::mouse::types::tests::test_click_status_variants ... ok
[2m2026-06-01T16:14:58.658556Z[0m [33m WARN[0m [2mauto::utils::native_input[0m[2m:[0m Native input backend 'sendinput' is not implemented yet, falling back to enigo
test utils::mouse::types::tests::test_hover_outcome_copy ... ok
test utils::mouse::types::tests::test_hover_outcome_summary_failed ... ok
test utils::mouse::types::tests::test_hover_outcome_summary_success ... ok
test utils::mouse::types::tests::test_hover_status_partial_eq ... ok
test utils::mouse::types::tests::test_hover_status_variants ... ok
test utils::mouse::types::tests::test_mouse_button_default ... ok
test utils::mouse::types::tests::test_mouse_button_partial_eq ... ok
[2m2026-06-01T16:14:58.660484Z[0m [34mDEBUG[0m [2menigo[0m[2m:[0m using default settings
test utils::mouse::types::tests::test_mouse_button_variants ... ok
[2m2026-06-01T16:14:58.660597Z[0m [34mDEBUG[0m [2menigo::platform::win_impl[0m[2m:[0m \x1b[93mconnection established on windows\x1b[0m
[2m2026-06-01T16:14:58.660989Z[0m [34mDEBUG[0m [2menigo::platform::win_impl[0m[2m:[0m released all held keys
test utils::mouse::types::tests::test_native_cursor_outcome_empty_target ... ok
test utils::mouse::types::tests::test_native_cursor_outcome_no_screen_coords ... ok
test utils::mouse::types::tests::test_native_cursor_outcome_summary ... ok
test utils::native_input::tests::test_backend_selection_consistency ... ok
test utils::native_input::tests::test_backend_fallback_warning_once ... ok
test utils::native_input::tests::test_backend_selection_enigo ... ok
test utils::native_input::tests::test_backend_selection_rdev ... ok
test utils::native_input::tests::test_backend_selection_sendinput ... ok
test utils::native_input::tests::test_jittered_delay_ms_base_max_u64 ... ok
test utils::native_input::tests::test_ensure_native_input_ready_sendinput ... ok
test utils::native_input::tests::test_ensure_native_input_ready_enigo ... ok
test utils::native_input::tests::test_ensure_ready_multiple_calls ... ok
test utils::native_input::tests::test_ensure_native_input_ready_rdev ... ok
test utils::native_input::tests::test_jittered_delay_ms_base_one ... ok
test utils::native_input::tests::test_jittered_delay_ms_base_saturating_sub ... ok
test utils::native_input::tests::test_jittered_delay_ms_consistency ... ok
test utils::native_input::tests::test_jittered_delay_ms_distribution ... ok
test utils::native_input::tests::test_jittered_delay_ms_extreme_variance ... ok
test utils::native_input::tests::test_jittered_delay_ms_high_variance ... ok
test utils::native_input::tests::test_jittered_delay_ms_large_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_single_value ... ok
test utils::native_input::tests::test_jittered_delay_ms_non_deterministic ... ok
test utils::native_input::tests::test_jittered_delay_ms_small_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_100_percent ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_above_100 ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_clamping ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_exact_50 ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_rounding ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_with_small_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_variance_zero_with_large_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_very_large_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_very_small_variance ... ok
test utils::native_input::tests::test_jittered_delay_ms_zero_base ... ok
test utils::native_input::tests::test_jittered_delay_ms_within_bounds ... ok
